	T89-1	T89-2	250-5	250-8	250-13
Potri.001G031700.0	74	128	71	62	97
Potri.001G031800.0	12	192	52	18	128
Potri.001G031900.0	0	0	0	0	0
Potri.001G032000.0	51	83	34	27	67
Potri.001G032100.0	0	0	0	0	0
Potri.001G032200.0	0	0	0	0	0
Potri.001G032300.0	0	0	0	0	0
Potri.001G032400.0	0	0	1	0	0
Potri.001G032500.0	397	234	134	69	190
Potri.001G032600.0	17	15	3	6	11
Potri.001G032700.0	0	2	3	0	0
Potri.001G032800.0	202	342	103	94	174
Potri.001G032900.0	348	366	165	120	267
Potri.001G033000.0	0	2	0	1	3
Potri.001G033100.0	4	2	0	1	3
Potri.001G033200.0	72	94	62	46	79
Potri.001G033300.0	0	0	1	0	1
Potri.001G033400.0	0	0	0	0	0
Potri.001G033500.0	2	1	3	2	5
Potri.001G033600.0	164	188	85	71	125
Potri.001G033700.0	0	0	0	0	0
Potri.001G033800.0	0	2	1	1	2
Potri.001G033900.0	46	64	24	14	60
Potri.001G034000.0	1	0	0	0	0
Potri.001G034100.0	0	0	0	0	1
Potri.001G034200.0	113	112	61	49	92
Potri.001G034300.0	70	100	42	21	83
Potri.001G034400.0	444	345	182	160	270
Potri.001G034500.0	12	8	6	8	12
Potri.001G034600.0	5	6	3	2	12
Potri.001G034700.0	58	46	26	19	55
Potri.001G034800.0	16	21	7	7	18
Potri.001G034900.0	3	7	6	5	13
Potri.001G035000.0	10	5	7	3	9
Potri.001G035100.0	3	2	1	0	7
Potri.001G035200.0	7	13	5	4	7
Potri.001G035300.0	72	66	28	27	50
Potri.001G035400.0	0	0	0	0	0
Potri.001G035500.0	29	35	29	9	46
Potri.001G035600.0	0	1	0	0	0
Potri.001G035700.0	50	71	48	34	96
Potri.001G035800.0	104	124	74	61	118
Potri.001G035900.0	0	0	0	0	0
Potri.001G036000.0	23	26	14	17	23
Potri.001G036100.0	116	205	96	55	149
Potri.001G036200.0	0	1	1	1	2
Potri.001G036300.0	18	31	19	26	33
Potri.001G036400.0	90	103	61	43	86
Potri.001G036500.0	1	7	1	2	2
Potri.001G036600.0	2	0	0	1	0
Potri.001G036700.0	0	0	0	0	0
Potri.001G036800.0	84	95	59	46	94
Potri.001G036900.0	22483	29158	16558	9294	21793
Potri.001G037000.0	33	36	16	10	33
Potri.001G037100.0	1	2	0	0	1
Potri.001G037200.0	88	95	61	54	111
Potri.001G037300.0	38	37	31	14	57
Potri.001G037400.0	316	428	290	222	616
Potri.001G037500.0	13	5	9	7	6
Potri.001G037600.0	1	4	1	1	4
Potri.001G037700.0	51	37	21	32	26
Potri.001G037800.0	0	0	0	0	0
Potri.001G037900.0	22	40	12	12	16
Potri.001G038000.0	162	159	78	45	139
Potri.001G038100.0	274	300	178	125	272
Potri.001G038200.0	9	16	5	6	13
Potri.001G038300.0	0	0	0	0	0
Potri.001G038400.0	1	2	2	0	2
Potri.001G038500.0	0	0	0	0	0
Potri.001G038600.0	0	0	0	0	0
Potri.001G038700.0	0	0	0	0	0
Potri.001G038800.0	0	0	0	0	0
Potri.001G038900.0	0	0	0	0	0
Potri.001G039000.0	0	0	0	0	0
Potri.001G039100.0	0	0	0	0	0
Potri.001G039200.0	0	0	0	0	0
Potri.001G039300.0	0	0	0	0	0
Potri.001G039400.0	0	0	0	0	0
Potri.001G039500.0	0	0	0	0	0
Potri.001G039600.0	0	0	0	0	0
Potri.001G039700.0	0	0	0	0	0
Potri.001G039800.0	0	0	0	0	0
Potri.001G039900.0	0	0	0	0	0
Potri.001G040000.0	0	0	1	0	7
Potri.001G040100.0	2	1	2	0	6
Potri.001G040200.0	3	3	5	2	2
Potri.001G040300.0	5	4	3	3	4
Potri.001G040400.0	0	0	0	0	0
Potri.001G040500.0	0	0	0	0	0
Potri.001G040600.0	0	0	0	0	0
Potri.001G040700.0	0	0	0	0	0
Potri.001G040800.0	0	0	0	0	0
Potri.001G040900.0	0	0	0	0	0
Potri.001G041000.0	0	0	0	0	0
Potri.001G041100.0	1	5	2	2	2
Potri.001G041200.0	8	2	3	2	4
Potri.001G041300.0	2	0	2	2	4
Potri.001G041400.0	6	6	10	0	1
Potri.001G041500.0	1	0	0	0	0
Potri.001G041600.0	12	15	13	5	16
Potri.001G041700.0	19	79	8	7	33
Potri.001G041800.0	95	125	67	39	97
Potri.001G041900.0	43	68	17	18	39
Potri.001G042000.0	8	21	9	8	14
Potri.001G042100.0	1	0	0	0	0
