ID	6.1_2.57.1	6.1_2.57.2	6.1_2.57.3	6.5_2.76.1_MERGED	6.5_2.76.2_MERGED	6.5_2.76.3_MERGED	6.6_2.05.1_MERGED	6.6_2.05.2_MERGED	6.6_2.42.4_MERGED	6.6_2.42.5_MERGED	6.6_2.42.6_MERGED	6.6_2.24.1_MERGED	6.6_2.24.2_MERGED	6.6_2.24.3_MERGED	6.6_2.14.1_MERGED	6.6_2.14.2_MERGED	6.6_2.14.3_MERGED	6.6_2.29.1_MERGED	6.6_2.28.1_MERGED	6.6_2.32.1_MERGED	6.6_2.30.1_MERGED	6.6_2.33.1_MERGED	6.6_2.31.1_MERGED	6.6_2.27.1_MERGED	6.6_2.27.2_MERGED	6.6_2.27.3_MERGED	6.6_2.52.1_MERGED	6.6_2.52.2_MERGED	6.6_2.52.3_MERGED	6.6_2.03.1_MERGED	6.6_2.03.2_MERGED	6.6_2.03.3_MERGED	6.6_2.16.1_MERGED	6.6_2.16.2_MERGED	6.6_2.16.3_MERGED	6.6_2.45.1_MERGED	6.6_2.45.2_MERGED	6.6_2.45.3_MERGED	6.6_2.15.1_MERGED	6.6_2.15.2_MERGED	6.6_2.15.3_MERGED	6.6_2.40.1_MERGED	6.6_2.40.2_MERGED	6.6_2.40.3_MERGED	6.6_2.47.1_MERGED	6.6_2.47.2_MERGED	6.6_2.47.3_MERGED
196	0	0	0	4	0	2	1	4	9	2	24	20	2	2	7	19	1	4	7	661	30	16	91	277	35	10	15	33	0	50	1	39	32	24	3	23	40	3	22	67	67	4	1363	5	2	1	22
197	0	0	0	2	3	3	0	0	4	1	0	9	0	0	0	2	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	0	3	1	3	4	1	1	5	0	4	5	64	3	112	129	119
198	4	2	4	6	5	0	2	12	6	6	0	29	9	18	35	57	5	24	23	691	31	90	115	86	39	25	26	84	4	7	3	5	47	58	12	18	25	15	42	280	116	3	725	1350	85	94	106
199	0	0	0	4	3	2	0	0	3	2	1	65	4	2	7	15	2	3	3	8	11	50	2	10	5	4	14	0	0	0	0	0	7	7	1	1	8	0	3	0	13	0	126	0	139	153	141
200	0	0	0	0	0	1	1	0	0	0	0	13	1	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	12	11	14
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	145	397	190	81	83	82	0	1	1	2	1	173	275	192	1	1	1	1	114	0	61	1	0	0	4	6	169	176	175	48	35	42	6	5	7	71	105	148	29	40	59	47	89	78	37	31	21
203	0	0	0	0	0	0	1	0	7	0	7	0	0	1	0	0	0	0	0	0	0	20	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5	0	0	0	0
204	0	0	0	0	35	47	0	0	15	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	29	0	0	0	0	1	0	0	0	8	3	1
205	0	0	0	0	0	0	0	0	1	0	0	15	3	0	1	4	0	1	1	5	10	1	2	2	3	5	5	0	0	0	0	0	6	8	0	4	0	0	8	0	12	0	7	2	6	5	15
206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	1	0	0	0	0	0	0	7	2	10	19	1623	0	0	0	0	0	0	0	0	4	0
207	0	0	0	3	1	0	0	0	9	0	0	9	1	0	0	1	0	0	0	0	0	44	0	1	0	1	0	0	0	0	0	0	0	0	1	0	11	0	3	0	4	6	92	7	89	102	71
208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0
209	0	0	0	0	5	10	0	0	4	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	2	3	2	0	0	0	0	1	1
210	10	33	21	3	3	2	0	0	287	292	265	24	19	12	0	0	0	0	0	12	11	12	0	0	11	14	63	11	24	0	0	0	39	4	5	0	1	1	0	1	0	1	3	1	22	13	9
