OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
528	66bbde38f4372868842c605efd9b8848782c0a90	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	unidentified	unidentified
529	66ca3e3f88f13e2735304f8f819710311b5b86f7	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
530	66eb131425b25c8183cccf134fd0b84c5fcf4bad	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
531	672f913ba47def7d4a5cdc7dc48115dc9971149f	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified
532	6789fe0904c01b492fd4c712aacc4e1d6f640147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
533	67a4ed786ecf1215edbda5c727f2007e137413ed	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
534	67bac19188757b4dd65a3dc001efe17879518a41	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
535	67ed58a0df9de9046f0be8e3e89ec858c0e46ba2	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
536	67fa584bd7850b31d6f966352cdb7aa2c40ae2e0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
537	680a7951f017d4b6c70095e0e6f5f716733bcb44	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
538	686c292837708d80162635b666df287599fd2839	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
539	686f2cc975e8da36ef244d2eb3059cc644ddf14b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	unidentified
540	688f0d6562c85572b48ee4eaf465e569186a6ef8	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_lapidosum
541	691d8fe76bbfab0fea5cef3856bbd08908c95f59	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified
542	695d78e0fb7029e0bf3fdfb3d0fae6a4ea754dd0	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Retiarius	unidentified
543	69b674338340ec470507e732b848e6279fa82db6	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
544	69d11bff8e96e752bcff1d93d2bd2e532e9b924c	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	unidentified	unidentified
