ID	3.1-4.2_2.76.1	3.1-4.2_2.76.2	3.1-4.2_2.76.3	3.1-4.2_2.05.1	3.1-4.2_2.05.2	3.1-4.2_2.05.3	2.42.1_MERGED	2.42.2_MERGED	2.42.3_MERGED	2.24.4_MERGED	2.24.5_MERGED	2.24.6_MERGED	3.1-4.2_2.14.1	3.1-4.2_2.14.2	3.1-4.2_2.14.3	2.29.4_MERGED	3.2-4.1_2.28.1	3.2-4.1_2.32.1	3.2-4.1_2.30.1	3.2-4.1_2.33.1	3.2-4.1_2.31.1	2.27.4_MERGED	2.27.5_MERGED	2.27.6_MERGED	3.1-4.2_2.03.1	3.1-4.2_2.03.2	3.1-4.2_2.03.3	2.16.1_MERGED	2.16.2_MERGED	2.16.3_MERGED	2.45.1_MERGED	2.45.2_MERGED	2.45.3_MERGED	2.46.1_MERGED	2.46.2_MERGED	2.46.3_MERGED	2.41.1_MERGED	2.41.2_MERGED	2.41.3_MERGED	2.48.4_MERGED	2.48.5_MERGED	2.48.6_MERGED
295	16	9	11	0	71	90	0	0	0	66	29	55	1	5	3	0	1	1	0	0	0	8	7	3	0	1	6	0	1	3	1	1	3	0	1	0	1	1	1	0	0	0
296	1	0	2	0	0	0	0	0	0	21	6	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	23	26	33	11	0	1	2	2	1	43	0	0	0	0	0
297	0	1	1	0	3	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	5	5	6	71	26	16	6	6	3	1	3	0	0	1	1
298	4	0	2	0	4	5	0	0	0	1	1	3	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	7	9	2	4	7	9	5	11	4	3	0	1	0	1	3
299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	19	25	0	0	0	1	2	0	0	0	0
300	2	0	1	0	6	6	0	0	0	2	1	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	6	8	2	5	5	2	1	3	11	3	11	0	2	1
301	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	12	8	11	1	1	4	8	7	3	3	3	1	2	2	0	0	1	1
302	5	5	3	0	2	0	0	0	0	1	0	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12	18	10	9	15	11	9	5	11	40	62	36	11	51	81
303	0	0	3	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	3	3	2	7	3	8	10	9	8	10	9	1	0	0	0	0	1
304	3	1	1	1	4	3	0	0	0	4	5	5	0	0	0	37	1	1	0	0	0	0	0	2	1	5	3	49	65	39	9	16	4	3	7	5	0	1	6	0	11	6
305	4	0	0	0	0	0	0	0	0	4	5	5	0	0	1	1	0	0	0	2	0	11	0	2	0	0	0	0	25	2	0	1	2	24	5	0	0	0	1	0	1	0
306	5	4	9	2	1	11	5	7	1	9	10	10	0	7	3	1	1	1	0	0	0	0	2	7	18	9	17	44	43	50	74	47	59	42	31	18	17	25	19	68	218	232
307	2	0	1	0	3	4	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	4	1	1	0	0	1	23	2	12	2	2	3	7	7	1	0	0	0	0	0	0
