"ID_files"	"Sort_ID"	"Original_Samples"	"TechnRep"	"Sterilized"	"Description"	"tissue.type"	"age.class.needles"	"genotype"	"Z4006.individual"	"location"	"month"	"year"	"DeML_Reads_Sum"	"Trim_Reads_Sum"	"MC_Proportion"	"Reads_Remaining"	"InvSimpson"	"Description_ID"
"6.6_2.45.1_MERGED"	"S.Nd2.S4.I.N.0714.1"	"1.1_1.06.1& 1.1_2.17.1& 6.1_2.45.1& 6.4_2.17.1& 6.5_1.06.1& 6.5_2.17.1& 6.6_2.45.1"	7	"No"	"4006 I needles 2nd age class 7.14"	"needles"	"needles_2nd"	"P. abies Z4006"	1	"Savar"	"July"	2014	877509	390768	0.74694213054653	98887	5.7723042286502	"Z4006_Savar_needles2_Jul"
"6.6_2.45.2_MERGED"	"S.Nd2.S4.I.N.0714.2"	"1.1_1.06.2& 1.1_2.17.2& 6.1_2.45.2& 6.4_2.17.2& 6.5_1.06.2& 6.5_2.17.2& 6.6_2.45.2"	7	"No"	"4006 I needles 2nd age class 7.14"	"needles"	"needles_2nd"	"P. abies Z4006"	1	"Savar"	"July"	2014	959249	432009	0.944386336991029	24026	12.7227755733323	"Z4006_Savar_needles2_Jul"
"6.6_2.45.3_MERGED"	"S.Nd2.S4.I.N.0714.3"	"1.1_1.06.3& 1.1_2.17.3& 6.1_2.45.3& 6.4_2.17.3& 6.5_1.06.3& 6.5_2.17.3& 6.6_2.45.3"	7	"No"	"4006 I needles 2nd age class 7.14"	"needles"	"needles_2nd"	"P. abies Z4006"	1	"Savar"	"July"	2014	218756	61760	0.878933650197401	7477	26.9925612498767	"Z4006_Savar_needles2_Jul"
"6.6_2.15.1_MERGED"	"S.Nd3.S4.I.N.0714.1"	"1.1_1.08.1& 1.1_2.15.1& 6.1_2.46.1& 6.4_1.08.1& 6.5_1.08.1& 6.6_1.08.1& 6.6_2.15.1"	7	"No"	"4006 I needles 3rd age class 7.14"	"needles"	"needles_3rd"	"P. abies Z4006"	1	"Savar"	"July"	2014	723391	601742	0.882745983529221	70557	14.8544287306408	"Z4006_Savar_needles3_Jul"
"6.6_2.15.2_MERGED"	"S.Nd3.S4.I.N.0714.2"	"1.1_1.08.2& 1.1_2.15.2& 6.1_2.46.2& 6.4_1.08.2& 6.5_1.08.2& 6.6_1.08.2& 6.6_2.15.2"	7	"No"	"4006 I needles 3rd age class 7.14"	"needles"	"needles_3rd"	"P. abies Z4006"	1	"Savar"	"July"	2014	633032	496501	0.909306671037535	45029	5.33290246214028	"Z4006_Savar_needles3_Jul"
"6.6_2.15.3_MERGED"	"S.Nd3.S4.I.N.0714.3"	"1.1_1.08.3& 1.1_2.15.3& 6.1_2.46.3& 6.4_1.08.3& 6.5_1.08.3& 6.6_1.08.3& 6.6_2.15.3"	7	"No"	"4006 I needles 3rd age class 7.14"	"needles"	"needles_3rd"	"P. abies Z4006"	1	"Savar"	"July"	2014	969799	809156	0.961648578275497	31032	32.1265368243661	"Z4006_Savar_needles3_Jul"
"6.6_2.40.1_MERGED"	"S.Nd.Um.FS.N.0814.1"	"1.1_1.02.1& 6.1_2.41.1& 6.5_1.02.1& 6.6_1.02.1& 6.6_1.03.1& 6.6_2.40.1"	6	"No"	"Friggesund seedlings"	"needles"	""	"P. abies nursery seedling"	NA	"Friggesund"	"August"	2014	375871	292309	0.906462455275216	27342	16.182398728677	"Seedlings_needles_Aug"
"6.6_2.40.2_MERGED"	"S.Nd.Um.FS.N.0814.2"	"1.1_1.02.2& 6.1_2.41.2& 6.5_1.02.2& 6.6_1.02.2& 6.6_1.03.2& 6.6_2.40.2"	6	"No"	"Friggesund seedlings"	"needles"	""	"P. abies nursery seedling"	NA	"Friggesund"	"August"	2014	888481	528994	0.670608727539421	174246	7.58581395936741	"Seedlings_needles_Aug"
"6.6_2.40.3_MERGED"	"S.Nd.Um.FS.N.0814.3"	"1.1_1.02.3& 6.1_2.41.3& 6.5_1.02.3& 6.6_1.02.3& 6.6_1.03.3& 6.6_2.40.3"	6	"No"	"Friggesund seedlings"	"needles"	""	"P. abies nursery seedling"	NA	"Friggesund"	"August"	2014	441307	359216	0.589419593689043	147487	3.13980633532585	"Seedlings_needles_Aug"
"6.6_2.47.1_MERGED"	"S.Nd.Um.FS.Y.0814.1"	"1.1_1.01.1& 6.1_2.47.1& 6.1_2.48.1& 6.6_1.01.1& 6.6_2.47.1"	5	"Yes"	"Friggesund seedlings"	"needles"	""	"P. abies nursery seedling"	NA	"Friggesund"	"August"	2014	375280	286997	0.802458045332225	56694	18.31292456453	"Seedlings_needles_Aug_ster"
"6.6_2.47.2_MERGED"	"S.Nd.Um.FS.Y.0814.2"	"1.1_1.01.2& 6.1_2.47.2& 6.1_2.48.2& 6.6_1.01.2& 6.6_2.47.2"	5	"Yes"	"Friggesund seedlings"	"needles"	""	"P. abies nursery seedling"	NA	"Friggesund"	"August"	2014	377790	276576	0.777040978235335	61665	18.9400249512144	"Seedlings_needles_Aug_ster"
"6.6_2.47.3_MERGED"	"S.Nd.Um.FS.Y.0814.3"	"1.1_1.01.3& 6.1_2.47.3& 6.1_2.48.3& 6.6_1.01.3& 6.6_2.47.3"	5	"Yes"	"Friggesund seedlings"	"needles"	""	"P. abies nursery seedling"	NA	"Friggesund"	"August"	2014	631503	488036	0.850790495938861	72820	14.8549252948787	"Seedlings_needles_Aug_ster"
