OTU	SHA1	Superkingdom	Phylum	Class	Order	Family	Genus	Species
807	d08e387ad77970696cae40f9a0d582a027197d78	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	uncultured bacterium
808	d0ee53e218c73d99218c0f5fff71a7208243895e	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	uncultured bacterium	uncultured bacterium
809	d110fff4d77aae14c634a7446d7b9e5a95b7b205	Bacteria	Verrucomicrobia	OPB35 soil group	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
810	d119f0b22a96665869c75712166d41d17e3cd61a	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium	Sediminibacterium sp. HSD04
811	d18dd6774317fbdc6cd5d5808d7fab05c870f529	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
812	d1f57469a5685d427e784ff3d397c58c2759defe	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Ambiguous_taxa
813	d221e0d97babf6973b94fbfb4509ede60a60d756	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter arcticus A12
814	d25e998a94f79f916d8a9d7baecba5eb14956560	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	uncultured bacterium
815	d29023db831723796c1e29f6c7ce163218290e8c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Paraburkholderia	uncultured Burkholderiaceae bacterium
816	d2b3f88afc40682c7a2921c7bf4a47d957727046	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Ambiguous_taxa
817	d2f0c1a0b77e141437f499df9e702a9ca89b4487	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Paraburkholderia	uncultured Burkholderiaceae bacterium
818	d2f0cd7a6a0f356f55b1b47cb50b517c2cd8cc59	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Ambiguous_taxa
819	d32b9a20981e4c85e264bf0ef43f8ab8ccc31d6c	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	uncultured bacterium	uncultured bacterium
820	d3485ce314a89d9730d5c8536a08b46b26ada829	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
821	d3c3536aac763463d9c8d46b04f2e5cbc20a7db5	Bacteria	Verrucomicrobia	OPB35 soil group	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
822	d3d5761b2e89a305fa0e975cb27ceff6a7ea6df2	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Ambiguous_taxa
823	d3d7e8021ef86ac874cbf95f2a643fb6b9de4b4d	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured bacterium
824	d3f4fe06dbe7ce9eff389c0fa7de3078d26b7018	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	Ambiguous_taxa
825	d405bb1ab6844fa35f7d0443d31bdf77630ab25f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Endobacter	uncultured bacterium
826	d40fed81b5796b64fd5d5cdca58befc970d6c547	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. M1-8
827	d44974f276a5b11aa7970ce27341cbbcd5a79714	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Tahibacter	unidentified
828	d45c7ca2de8029a5bb046f7e4ebf8ae7e737efa1	Bacteria	FBP	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
829	d483c6c66e1295062c5fcbc1a757b4a5012afd0a	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	uncultured bacterium
830	d4c532a7678c07e07a2aaadafcf75ce40ee6c02c	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	uncultured bacterium
831	d4d961adb344bec2a632eaffc3c5d3bdba36c4c4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Paraburkholderia	Ambiguous_taxa
832	d5117d6186c3b79f0156be9188af8ebd1f78458a	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Ambiguous_taxa
833	d5141ee108fa1248b65fb9c79772083d754ec808	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Verticia	uncultured bacterium
834	d538a4296e460378444a6de0811c3b774d42c7ca	Bacteria	Verrucomicrobia	OPB35 soil group	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
835	d53bd25e0f2877275447b7adac8eb086251c2b46	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Silvimonas	Ambiguous_taxa
836	d54ee5bc2112d90f6097fd20d4f660503b6a468d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	uncultured	uncultured alpha proteobacterium
837	d55a09cbfacb1bc956c78f203c80ec825784e917	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Ambiguous_taxa
838	d58e4c6b152ed845a181aae9712a1eec036ded8e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. T92
839	d5945aa04adf969b34acf2e60a437a2fdbcc39c9	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	uncultured bacterium
840	d5976d11c8e7471d64a27b8455e71be22281a4f4	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	uncultured	uncultured bacterium
841	d6046db65134ad3d67a0870d62722febd528a506	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	uncultured bacterium
842	d61c670bd5de77c89670277a17e3d784ae034ac2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Sinorhizobium sp. XLL-7
843	d646c5a33d992f33946bc2afb1058d90fb4bcf91	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	uncultured	uncultured bacterium
844	d65df86b16e637a7c49060a22e84df5b3596b50f	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
845	d6d7047794d3121434479502ad29db994a491cae	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	uncultured Bacteroidetes bacterium
846	d71a2f70a336063c09d9f4194d5c3671f587e5fc	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	Ambiguous_taxa
847	d78e8fc6c354af11905de07c3d38c20768a9b44c	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	uncultured bacterium
848	d7bfd1a40c3f043327d569d0d4dbbf617ebf48de	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	uncultured bacterium
849	d828c21d8026a61bb30cd2ab6558d3ad2887eb4d	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Ferribacterium	Ambiguous_taxa
850	d82d4dc03c9b9c2fb6aea16c5523744f1b7ed119	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	Ambiguous_taxa
851	d84a1945e1540caf295aebbcf9fb1514a22a87f1	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Ambiguous_taxa
852	d85f554644754166bebb98fdcea64504042193bb	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Ambiguous_taxa
853	d8d193c54962cb6d2f936c572044b6ef45f9ab57	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	uncultured bacterium
854	d8ea4c46f2506fa5cb46c23bc8a96a37a771c50f	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	uncultured bacterium
855	d92f86afef32063da1e71afb461710ae40e853ba	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	uncultured bacterium
856	d95eb18db48467df41b19b92e391917215b4692a	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	uncultured Sphingobacteriales bacterium
857	d97c434e0a66828ef80b1550c221e944e1ba5148	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Ambiguous_taxa
858	d9ba8c57fd63f67186478ac6d06297a2420b65ae	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
859	da06da645bbc168e541186ffd0a68ffd50d3fad7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. BR12257
860	da3f1cbb5a87b6913a07a16d86ef5ca5f9ae4bff	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sp. P064
861	da46d961593ee953b146c37b4f1da4c930abf289	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella	Ambiguous_taxa
862	da6640455c12de2a97fc084b746eb636c8974816	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	uncultured Bacteroidetes bacterium
863	daa6a15021319be4c55a5deb3957d0a5d2d6e53a	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	uncultured	uncultured beta proteobacterium
864	dad1c38f306b26500d32d3db1f8fe5e0117bf723	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	Pantoea sp. FL9
865	dad5112aa1040799f9b7360b60d13a53de9c4a3d	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Paraburkholderia	Ambiguous_taxa
866	dad9ed6940719cae49d00cfe9b76214c7786e31d	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured Streptococcus sp.
867	db053906e42025ea6511d279f79bcee71b70b962	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
868	dc22bfbb777e462f401eb9ec64bacb75882bcca0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Ambiguous_taxa
869	dc30a74566a74de661486d7b426c03bba2224856	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured bacterium	uncultured bacterium
870	dcc264b8c4d911f83c91e5cc1e6d7bc12d8cfef0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	uncultured	Herbaspirillum sp. Chnp3-5
871	dcd4d1036a26fbd85ba9d530ab38124936d2ce0c	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Ferruginibacter	Ambiguous_taxa
